Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BbAvH;BbAvD;BbAvA;BbAv>2.5;BbAv<2.5;BbAvAHH;BbAvAHA
SP1;06/11/05;Getafe;Barcelona;1;3;A;0;1;A;7;10;3;7;20;10;5;4;1;0;0;0;4.5;3.6;1.72;4.35;3.32;1.74;1.75;1.96;2.12;1.74
SP1;06/11/05;Malaga;La Coruna;1;1;D;0;0;D;11;12;1;4;23;17;4;2;0;3;0;0;2.4;3.2;2.6;2.48;3.1;2.64;2.08;1.64;1.86;1.97
SP1;06/11/05;Real Madrid;Zaragoza;1;0;H;0;0;D;13;14;5;4;14;22;6;1;2;5;0;0;1.36;4.33;9.0;1.35;4.15;7.99;1.63;2.12;2.04;1.82
SP1;06/11/05;Santander;Betis;1;1;D;0;1;A;14;8;5;2;24;27;6;7;3;2;0;0;2.3;3.25;2.75;2.31;3.11;2.87;2.12;1.62;1.76;2.08
SP1;06/11/05;Sevilla;Ath Madrid;0;0;D;0;0;D;14;12;6;3;21;18;7;4;0;3;0;0;2.0;3.25;3.4;2.09;3.14;3.29;2.12;1.62;1.85;2.01
SP1;19/11/05;Getafe;Osasuna;0;0;D;0;0;D;13;9;4;2;17;26;4;2;2;2;0;0;2.25;3.0;3.0;2.23;3.11;2.97;2.05;1.67;1.98;1.89
SP1;19/11/05;Real Madrid;Barcelona;0;3;A;0;1;A;5;20;2;7;25;16;3;6;6;2;0;0;2.37;3.2;2.62;2.39;3.15;2.75;1.72;2.03;1.82;2.03
SP1;19/11/05;Sevilla;Betis;1;0;H;0;0;D;9;8;2;3;23;24;7;4;4;7;2;0;2.0;3.0;3.5;1.98;3.07;3.58;2.18;1.59;2.07;1.81
SP1;19/11/05;Villarreal;Zaragoza;0;0;D;0;0;D;10;11;3;3;19;19;6;2;2;3;0;0;1.72;3.25;4.33;1.82;3.22;4.14;2.01;1.7;2.05;1.81
SP1;20/11/05;Ath Bilbao;Alaves;0;2;A;0;1;A;18;11;5;7;20;18;11;1;3;3;0;0;1.83;3.25;3.75;1.77;3.23;4.37;2.05;1.67;1.75;2.15
SP1;20/11/05;Cadiz;Valencia;0;1;A;0;0;D;11;6;4;2;17;26;10;11;4;6;1;1;2.8;3.2;2.25;2.96;3.14;2.23;2.06;1.65;1.93;1.94
SP1;20/11/05;Celta;Ath Madrid;2;1;H;1;0;H;10;18;4;8;28;17;3;11;2;2;0;0;2.25;3.25;2.75;2.2;3.1;3.03;2.14;1.61;2.05;1.82
SP1;20/11/05;Espanol;Mallorca;2;0;H;2;0;H;13;9;6;1;26;25;4;4;3;5;0;1;2.0;3.25;3.25;2.02;3.18;3.39;2.05;1.66;2.05;1.81
SP1;20/11/05;Malaga;Sociedad;3;1;H;0;0;D;14;13;7;3;26;11;7;7;2;2;0;0;2.2;3.2;2.87;2.16;3.14;3.1;2.01;1.7;1.87;2.0
SP1;20/11/05;Santander;La Coruna;0;3;A;0;1;A;17;9;7;3;23;31;4;4;1;1;0;0;2.6;3.2;2.4;2.63;3.07;2.51;2.14;1.62;2.03;1.82
SP1;26/11/05;Mallorca;Ath Bilbao;0;1;A;0;0;D;12;6;4;1;22;21;4;3;1;3;0;0;2.2;3.25;3.2;2.12;3.17;3.2;2.02;1.71;2.01;1.86
SP1;26/11/05;Valencia;Celta;2;0;H;0;0;D;15;11;7;3;16;16;9;6;1;2;0;0;1.72;3.4;5.0;1.73;3.27;4.53;2.02;1.72;1.83;2.03
SP1;27/11/05;Ath Madrid;Espanol;1;1;D;1;1;D;16;19;5;7;22;22;5;7;4;4;0;0;1.72;3.4;5.0;1.71;3.29;4.61;2.08;1.65;1.74;2.13
SP1;27/11/05;Barcelona;Santander;4;1;H;1;0;H;25;3;7;1;13;30;8;0;1;2;0;1;1.16;6.5;15.0;1.15;6.04;14.19;1.56;2.21;1.77;2.1
SP1;27/11/05;Betis;Cadiz;1;1;D;1;0;H;12;14;5;5;18;8;4;5;4;2;1;0;1.8;3.3;4.5;1.79;3.24;4.22;2.13;1.62;1.83;2.01
SP1;27/11/05;Getafe;Malaga;3;2;H;2;1;H;17;10;6;4;16;30;9;8;0;2;0;0;2.0;3.2;3.75;2.04;3.17;3.4;2.0;1.73;2.1;1.76
SP1;27/11/05;La Coruna;Villarreal;0;2;A;0;0;D;17;17;3;10;32;22;7;6;4;2;0;0;2.1;3.2;3.5;2.04;3.15;3.36;2.03;1.68;1.84;2.02
SP1;27/11/05;Osasuna;Alaves;3;2;H;0;0;D;15;7;7;5;26;21;9;1;1;2;0;0;1.61;3.6;5.5;1.63;3.39;5.17;2.04;1.68;1.89;1.97
SP1;27/11/05;Sociedad;Real Madrid;2;2;D;1;0;H;11;20;5;10;27;15;4;5;4;5;1;1;3.4;3.25;2.1;3.27;3.21;2.05;1.77;1.96;2.07;1.78
SP1;27/11/05;Zaragoza;Sevilla;0;2;A;0;0;D;15;17;2;8;19;5;5;5;4;0;1;0;2.37;3.2;2.9;2.35;3.07;2.86;2.13;1.62;1.71;2.15
SP1;03/12/05;Ath Bilbao;Ath Madrid;1;1;D;0;1;A;14;6;3;1;14;23;9;3;4;3;0;0;2.3;3.2;2.7;2.25;3.12;2.96;2.11;1.62;1.89;1.97
SP1;03/12/05;Celta;Betis;2;1;H;2;0;H;9;23;4;4;29;21;5;11;5;4;0;1;1.8;3.25;4.0;1.86;3.2;3.96;2.1;1.64;2.02;1.84
