Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BbAvH,BbAvD,BbAvA,BbAv>2.5,BbAv<2.5,BbAvAHH,BbAvAHA,temp_max,lluvia_mm,viento_kmh
SP1,16/01/1994,Real Madrid,Zaragoza,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,0.0,14.2
SP1,16/01/1994,Sevilla,Barcelona,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,0.0,10.6
SP1,16/01/1994,Sociedad,Albacete,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,13.7,33.3
SP1,16/01/1994,Sp Gijon,Osasuna,7,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,21.6,33.1
SP1,16/01/1994,Tenerife,Ath Bilbao,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,0.5,33.7
SP1,16/01/1994,Valencia,La Coruna,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,0.0,24.3
SP1,16/01/1994,Vallecano,Ath Madrid,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,0.0,14.2
SP1,23/01/1994,Albacete,Ath Bilbao,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,0.0,9.7
SP1,23/01/1994,Celta,La Coruna,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,0.0,15.2
SP1,23/01/1994,Lerida,Tenerife,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,8.5
SP1,23/01/1994,Logrones,Ath Madrid,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,0.0,12.8
